id,price,surface,nbRooms,balcon,annee,garage,price_category,note,city
0,7139520.0,59.2,2.0,,2024,True,low,2,Marseille
1,10500000.0,88.0,3.0,1.0,2024,True,low,4,Paris
2,9019650.0,78.5,3.0,,2024,True,low,4,Marseille
3,10500000.0,88.0,3.0,0.0,2024,False,low,3,Marseille
4,13900000.0,78.0,2.0,0.0,2024,False,normal,4,Marseille
5,5464800.0,36.0,2.0,,2024,False,normal,3,Paris
6,7100000.0,38.5,1.0,0.0,2024,False,normal,3,Paris
7,5950000.0,37.6,1.0,1.0,2024,True,normal,4,Paris
8,8700000.0,106.9,3.0,0.0,2024,False,low,3,Marseille
9,10990000.0,63.6,2.0,0.0,2024,False,normal,4,Paris
10,13650000.0,71.0,2.0,1.0,2024,True,normal,4,Marseille
11,15700000.0,90.5,3.0,0.0,2024,True,normal,4,Lyon
12,4045140.0,19.8,1.0,,2024,False,high,4,Paris
13,5000000.0,24.0,1.0,,2024,False,high,4,Paris
14,5400000.0,32.3,1.0,1.0,2024,False,normal,3,Lyon
15,5470000.0,23.0,1.0,1.0,2024,False,high,4,Paris
16,5950000.0,37.0,2.0,1.0,2024,True,normal,4,Paris
17,6170000.0,42.2,1.0,1.0,2024,True,low,2,Paris
18,6150000.0,40.0,1.0,0.0,2024,False,normal,3,Paris
19,7200000.0,60.0,2.0,1.0,2024,False,low,2,Paris
20,7600000.0,60.0,2.0,1.0,2024,True,low,3,Marseille
21,9200000.0,68.0,3.0,0.0,2024,True,low,4,Lyon
22,11960000.0,119.6,4.0,,2024,True,low,4,Paris
23,13500000.0,63.0,2.0,0.0,2024,True,high,5,Lyon
24,13650000.0,70.0,2.0,1.0,2024,True,normal,4,Lyon
25,15850000.0,83.2,3.0,1.0,2024,True,normal,4,Marseille
26,16900000.0,104.0,4.0,1.0,2024,False,normal,4,Marseille
27,3910450.0,19.7,1.0,,2024,False,normal,3,Paris
28,4237740.0,23.4,1.0,,2024,False,normal,3,Paris
29,4450000.0,50.2,2.0,,2024,False,low,2,Paris
30,4500000.0,27.0,1.0,,2024,False,normal,3,Paris
31,4568400.0,27.0,1.0,,2024,False,normal,3,Paris
32,34999000.0,73.0,2.0,,2024,True,high,5,Marseille
33,5197920.0,33.6,1.0,,2024,False,normal,3,Marseille
34,5150000.0,22.8,1.0,,2024,False,high,4,Lyon
35,5250000.0,23.2,1.0,,2024,False,high,4,Paris
36,5350000.0,36.2,1.0,1.0,2024,False,low,2,Paris
37,5537000.0,44.0,1.0,,2024,False,low,2,Paris
38,5541250.0,32.5,1.0,,2024,True,normal,4,Paris
39,5674920.0,39.3,1.0,,2024,False,low,2,Marseille
40,6035600.0,39.5,1.0,,2024,False,normal,3,Paris
41,6150000.0,42.3,1.0,,2024,False,low,2,Paris
42,6800000.0,51.0,2.0,0.0,2024,False,low,2,Lyon
43,6950000.0,48.1,2.0,,2024,False,low,2,Paris
44,7304760.0,59.1,2.0,,2024,False,low,2,Marseille
45,7399990.0,56.0,2.0,0.0,2024,False,low,2,Paris
46,7801000.0,72.5,3.0,,2024,False,low,3,Paris
47,8100000.0,56.2,2.0,0.0,2024,False,low,2,Paris
48,8390000.0,47.0,2.0,1.0,2024,False,normal,3,Paris
49,8540500.0,72.5,3.0,,2024,False,low,3,Paris
50,8850000.0,43.0,1.0,0.0,2024,False,high,4,Lyon
51,8878350.0,78.5,3.0,,2024,False,low,3,Paris
52,8800000.0,67.0,3.0,,2024,False,low,3,Paris
